label,old_name,new_name,tag,filtered_tags
not_an_issue,Title for an information board. ,Middle Ages: throw it in the pot,name:en,"{""board_type"":""history"",""information"":""board"",""language:de"":""yes"",""language:en"":""yes"",""language:fr"":""yes"",""language:nl"":""yes"",""name"":""Middeleeuwen: gooi maar in de pot - Le Moyen Âge : tout dans le même pot - Middle Ages: throw it in the pot - Mittelalter: alles in einen Topf"",""name:de"":""Mittelalter: alles in einen Topf"",""name:fr"":""Le Moyen Âge : tout dans le même pot"",""name:nl"":""Middeleeuwen: gooi maar in de pot"",""operator"":""Agentschap Plantentuin Meise"",""tourism"":""information""}"
not_an_issue,,"Arquitectura Expandida's ""Urban Negotiation""",name,"{""operator"":""Public Art Abu Dhabi Biennial"",""tourism"":""attraction""}"
vandalism,Khalid Autos jail chowrangi,Khalid Autos jail chowrangi,name,"{""addr:city"":""karachi"",""addr:street"":""W22W+2JF, Hyderabad Colony"",""shop"":""car_repair""}"
vandalism,,GARAGE LAAYOUNE,name:en,"{""addr:postcode"":""47552"",""addr:street"":""29°58′46.43″N 05°34′58.41″W"",""internet_access"":""wlan"",""name"":""garage Laayoune"",""name:ar"":""كراج لعيون"",""name:fr"":""GARAGE LAAYOUNE"",""opening_hours"":""24/7"",""phone"":""0662837484"",""shop"":""car_repair""}"
vandalism,,Badulla House,name,"{""addr:city"":""Jaladanki"",""addr:district"":""Nellore"",""addr:housenumber"":""1-153"",""addr:postcode"":""524223"",""addr:street"":""Vaddipalem"",""building"":""house"",""building:levels"":""0""}"
vandalism,zohan general store,zohan general store,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V2FP+78"",""addr:street"":""Nusserwanji Rd, Garden East Catholic Colony,"",""shop"":""general""}"
vandalism,,Conner store,name,"{""building"":""retail""}"
vandalism,,Hotel,name,"{""addr:city"":""Karachi"",""addr:street"":""V26H+PWG, Saddar"",""tourism"":""hotel""}"
vandalism,ZiQain Travel and Tours (Karwan e Zuhayr Ibn Qain),ZiQain Travel and Tours (Karwan e Zuhayr Ibn Qain),name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V2HP+5F"",""addr:street"":""Shop#02, Al Mustafa Terrace, Clayton Rd, Soldier Bazaar No:3, next to Swiss Pharmacy, nearby De Pizzano,"",""phone"":""03130285455"",""shop"":""travel_agency""}"
vandalism,,kushal's house,name,"{""building"":""yes""}"
vandalism,,Reese House,name,"{""addr:city"":""Hoytsville"",""addr:housenumber"":""1036"",""addr:postcode"":""84017"",""addr:state"":""UT"",""addr:street"":""West Bradbury Canyon Lane"",""building"":""house"",""building:levels"":""2"",""height"":""12"",""house"":""residential""}"
vandalism,AHMED ENTERPRISES CROCKERY,AHMED ENTERPRISES CROCKERY,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V27F+VF"",""addr:street"":""Shop no:65 first floor, gul plaza, main Muhammad Ali Jinnah Rd, Preedy Quarters saddar karachi,"",""shop"":""yes""}"
vandalism,,adcon residency,name,"{""building"":""apartments"",""building:levels"":""8""}"
vandalism,Gulshan-e-Fatima School,Gulshan-e-Fatima School,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V2JP+VRR"",""addr:street"":"", Merwani Kundawala Rd, Soldier Bazaar Garden East,"",""amenity"":""school""}"
vandalism,,BUTLER,name,"{""operator"":""New York, Susquehanna and Western Railway"",""railway"":""site"",""railway:position"":""mi:38.20""}"
vandalism,Abdulahad and sons,Abdulahad and sons,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V247+W4"",""addr:street"":""Shop#4, dehli market, Muhammad Ali Jinnah Rd, near kausar medical store, Aram Bagh"",""phone"":""03342386131"",""shop"":""clothes""}"
vandalism,Al Sahlah Travel & Tours - Head Office,Al Sahlah Travel & Tours - Head Office,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V2HP+5H"",""addr:street"":""Suite # 8, Al Murtaza Terrace, Bahadur Yar Jang Rd, Soldier Bazaar # 3,"",""phone"":""02132227221"",""shop"":""travel_agency""}"
vandalism,Carvan-e-Abuzar Hajj & Umrah Services (Pvt.) Ltd,Carvan-e-Abuzar Hajj & Umrah Services (Pvt.) Ltd,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V2HP+38"",""addr:street"":""Al-Mustafa Terrace, Clayton Rd, Soldier Bazaar No:3,"",""phone"":""02132222611"",""shop"":""travel_agency""}"
vandalism,LPG and CNG KIT ZONE Karachi,LPG and CNG KIT ZONE Karachi,name,"{""addr:city"":""Karachi"",""addr:street"":""V3M4+F2F, Jamshed Quarters Hyderabad Colony,"",""shop"":""repair""}"
vandalism,M.j bags shop jama clothe market,M.j bags shop jama clothe market,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V257+HW6"",""addr:street"":"", Aram Bagh"",""amenity"":""marketplace""}"
vandalism,Zainab Hussain Driving School Ladies &gents,Zainab Hussain Driving School Ladies &gents,name,"{""addr:city"":""Karachi"",""addr:street"":""W2MW+HRP, near bank Al.Habib, Block G North Nazimabad Town, Haderi"",""amenity"":""driving_school""}"
vandalism,,PCH09A,name,"{""amenity"":""casino""}"
vandalism,KARWAN-E-MALIK (PVT) LTD.,KARWAN-E-MALIK (PVT) LTD.,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V2FH+VP"",""addr:street"":""01 Soldier Bazaar Rd, near Habib Cold Storage, Soldier Bazaar,"",""shop"":""travel_agency""}"
vandalism,,PCH09A,name,"{""amenity"":""casino""}"
vandalism,"FUROR, Dolmen mall, Tariq road","FUROR, Dolmen mall, Tariq road",name,"{""addr:city"":""Karachi"",""addr:street"":""Dolmen mall, Shop no: 80, Ground Floor, Tariq R"",""shop"":""clothes""}"
vandalism,qalandar auto,qalandar auto,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V279+V7X"",""addr:street"":"", Haridas Lalji Rd, Marwaari Lines"",""shop"":""motorcycle_repair""}"
vandalism,,PCH09A,name,"{""amenity"":""casino""}"
vandalism,,bigm park,name,"{""leisure"":""park""}"
vandalism,"Sheikh Usman Travels (Pvt.) Ltd.,","Sheikh Usman Travels (Pvt.) Ltd.,",name,"{""addr:city"":""Karachi"",""addr:street"":""W2FM+G3G, Block-B Block B North Nazimabad Town"",""shop"":""travel_agency""}"
vandalism,,House of Shabeeb,name,"{""building"":""house""}"
vandalism,HUSSAIN AUTOS (OIL SEALS),HUSSAIN AUTOS (OIL SEALS),name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V27C+MM"",""addr:street"":""Square Karachi, McLean St, Preedy Quarters"",""shop"":""car_repair""}"
vandalism,MOHSIN AFRIDI GENERAL STORE,MOHSIN AFRIDI GENERAL STORE,name,"{""addr:city"":""Karachi"",""addr:street"":""V3Q5+HGR jamia Arabia owais qarni, Ghousia Colony Gulshan-e-Iqbal,"",""shop"":""general""}"
vandalism,,look and see,name,"{""amenity"":""theatre""}"
vandalism,Air Queen Industries,Accutec Tooling solution,name,"{""addr:city"":""Bengaluru"",""addr:housenumber"":""04, Sy.no.8/1E"",""addr:postcode"":""560091"",""addr:street"":""1st Main Road, Magadi Main Rd, Veerbhadreshwara Nagar, Hobli, Herohalli, Yeswanthpur"",""building"":""commercial"",""building:levels"":""1""}"
vandalism,F.c line Karachi,F.c line Karachi,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V28C+JC"",""addr:street"":""54 Jehangir Punthakey Rd, Preedy Quarters"",""landuse"":""residential"",""residential"":""apartments""}"
vandalism,Salman cars,Salman cars,name,"{""addr:city"":""Karachi"",""addr:street"":""V3G5+352, Khalid Bin Walid Rd, Block 2 P.E.C.H.S"",""phone"":""03022509333"",""shop"":""car""}"
not_an_issue,,"From Spooners Range, 1974",name,"{""artist_name"":""Sir Mountford Tosswill (Toss) Woollaston"",""artwork_type"":""painting"",""description"":""#23 in the Nelson City Centre ArtWalk. See the website for details about this painting."",""tourism"":""artwork"",""website"":""https://makeshiftspaces.nz/installations/from-spooners-range/""}"
not_an_issue,,BOIL,name:en,"{""addr:province"":""神奈川県"",""amenity"":""bicycle_rental"",""authentication:app"":""yes"",""brand"":""HELLO CYCLING"",""brand:ja"":""ハローサイクリング"",""brand:wikidata"":""Q91231927"",""capacity"":""5"",""contact:website"":""https://www.hellocycling.jp"",""fee"":""yes"",""gbfs:station_id"":""7780"",""gbfs:system_id"":""hellocycling"",""name"":""BOIL"",""name:ja"":""BOIL"",""network"":""HELLO CYCLING"",""network:ja"":""ハローサイクリング"",""network:wikidata"":""Q91231927""}"
not_an_issue,,De beer jewellery,name,"{""check_date"":""2025-01-02"",""shop"":""jewelry""}"
not_an_issue,,CEFRAS,name,"{""addr:city"":""LAVAL"",""addr:housenumber"":""65"",""addr:postcode"":""53000"",""addr:street"":""Rue du Chef de Bataillon Henri Géret""}"
not_an_issue,,versus,name,"{""amenity"":""nightclub""}"
not_an_issue,,B block gosh market road,name,"{""highway"":""service""}"
vandalism,Khalid jump autos,Khalid jump autos,name,"{""addr:city"":""کراچی"",""addr:street"":""V268+VQF, Shivram Dewan Mal Rd, Bohrapir Boharpir"",""shop"":""yes""}"
vandalism,Atif Altaf - Shoe Manufacturer - SANA FOOTWEAR,Atif Altaf - Shoe Manufacturer - SANA FOOTWEAR,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V278+4R"",""addr:street"":""Mohn, Karachi,"",""phone"":""03242551135"",""shop"":""shoes""}"
vandalism,,PCH09A,name,"{""amenity"":""casino""}"
vandalism,"Loh-o-Qalam Book, Stationary and Uniform","Loh-o-Qalam Book, Stationary and Uniform",name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V2H9+6RX"",""addr:street"":""Orange Street, Garden West Area,"",""phone"":""03312022837"",""shop"":""books""}"
vandalism,,PCH09A,name,"{""amenity"":""casino""}"
vandalism,9TRAVEL & TOURS PVT LTD PAKISTAN,9TRAVEL & TOURS PVT LTD PAKISTAN,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V2GM+FRG"",""addr:street"":""Britto Rd, Garden East Parsi Colony Saddar"",""shop"":""travel_agency""}"
vandalism,,New queta darbar hotel kamran kh,name,"{""addr:city"":""Karachi"",""addr:street"":""53, M.C.G.P.C.H.S MCGP CHS P.E.C.H.S."",""amenity"":""restaurant""}"
vandalism,The Best Motor Training Institute - No.1 Driving School In Karachi,The Best Motor Training Institute - No.1 Driving School In Karachi,name,"{""addr:city"":""Karachi"",""addr:street"":""The Best Motor Training Institute - No.1 Driving School"",""amenity"":""driving_school""}"
vandalism,New Rajoo Bearing - AIR Traders,New Rajoo Bearing - AIR Traders,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V2FC+PP"",""addr:street"":""Fikree Building Garden, Millat Nagar Hashim Khan Haq Nagri,"",""phone"":""02132250584"",""shop"":""yes""}"
vandalism,Pakistan int'l Steel Bolt,Pakistan int'l Steel Bolt,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V298+4W9"",""addr:street"":""Ramswamy Ramswami,"",""phone"":""02132732507"",""shop"":""yes""}"
vandalism,"OTS Chemco Irfan StoreV2QW+RV5, Jamshed Quarters Martin Quarters East, Karachi, Karachi City, Sindh, Pakistan","OTS Chemco Irfan StoreV2QW+RV5, Jamshed Quarters Martin Quarters East, Karachi, Karachi City, Sindh, Pakistan",name,"{""addr:city"":""Karachi"",""addr:street"":""V2QW+RV5, Jamshed Quarters Martin Quarters East"",""shop"":""yes""}"
vandalism,"Foriegn furniture Lakani palza Garden Road Karachi Showrooms 33,55","Foriegn furniture Lakani palza Garden Road Karachi Showrooms 33,55",name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V28F+X9"",""addr:street"":""Lakhani Plaza, Garden Rd, Preedy Quarters"",""amenity"":""marketplace""}"
vandalism,,Fayiz's House,name,"{""building"":""house"",""building:levels"":""2"",""house"":""bungalow""}"
vandalism,Auto Club Mart (Javed Motors),Auto Club Mart (Javed Motors),name,"{""addr:city"":""Karachi"",""addr:housenumber"":""Plot 151/s,"",""addr:street"":""SHOP NO#10, Imam Heights, Javed Motors Main Sir Syed Road P.E.C.H.S BLOCK 2 Plot 151/s, near IMTIAZ SUPER MARKET,"",""shop"":""car_parts""}"
vandalism,HASCOL Petrol Pump- Sadiq,HASCOL Petrol Pump- Sadiq,name,"{""addr:city"":""کراچی"",""addr:street"":""V2MR+VCC, Jehangir Rd, Jamshed Quarters"",""amenity"":""fuel""}"
vandalism,,Cafe good,name,"{""amenity"":""cafe"",""building"":""yes"",""cuisine"":""coffee_shop"",""internet_access"":""yes"",""internet_access:fee"":""customers"",""opening_hours"":""Mo-Su 08:00-22:00"",""outdoor_seating"":""yes""}"
vandalism,,"Aktel Tower Mosque - Niribili Area, Mosque",name,"{""amenity"":""place_of_worship"",""religion"":""muslim""}"
vandalism,Salman motors,Salman motors,name,"{""addr:city"":""Karachi"",""addr:street"":""V3J2+G5R, New MA Jinnah Rd, Fatima Jinnah Colony, Jamshed Quarters Shikarpur Colony"",""shop"":""car""}"
vandalism,,Mangente residence,name,"{""building"":""house"",""building:levels"":""1""}"
vandalism,MK CARS NEW M.A JINNAH ROAD KARACHI,MK CARS NEW M.A JINNAH ROAD KARACHI,name,"{""addr:city"":""Karachi"",""addr:street"":""Ruby Appartments, Jamshed Quarters Shikarpur Colony"",""shop"":""car""}"
vandalism,mustafa electronics,mustafa electronics,name,"{""addr:city"":""Karachi"",""addr:street"":""Ahmed Market Near Hassan Motor Trainig Center Next To Saify Ice Cream Shop, No 4 Haidery north nazimabad, karachi, Block E North Nazimabad Town"",""shop"":""electronics""}"
vandalism,"Bombay St, Boharpir, Karachi, Karachi City, Sindh","Bombay St, Boharpir, Karachi, Karachi City, Sindh",name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V268+MWH"",""addr:street"":"", Bombay St, Boharpir,"",""shop"":""car_repair""}"
vandalism,Qitmeer cold karimabad,Qitmeer cold karimabad,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V2MJ+34"",""addr:street"":""Shop # 4 plot#751, Al Rahim, square ke samne, Garden East"",""shop"":""general""}"
vandalism,Arena Multimedia Bagh-e-Quaid,Arena Multimedia Bagh-e-Quaid,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V2HQ+4F"",""addr:street"":""A-4, Cosmopolitan Society, Gurumandir, Muhammad Ali Jinnah Rd, Amil Colony,"",""amenity"":""school""}"
vandalism,Imran computers,Imran computers,name,"{""addr:city"":""Karachi"",""addr:street"":""W3CV+4RW, Block 5 Gulshan-e-Iqbal"",""shop"":""computer""}"
vandalism,,PCH09A,name,"{""amenity"":""casino""}"
vandalism,Auto Club Mart (Javed Motors),Auto Club Mart (Javed Motors),name,"{""addr:city"":""Karachi"",""addr:housenumber"":""Plot 151/s,"",""addr:street"":""SHOP NO#10, Imam Heights, Javed Motors Main Sir Syed Road P.E.C.H.S BLOCK 2 Plot 151/s, near IMTIAZ SUPER MARKET,"",""shop"":""car_parts""}"
vandalism,AL HUFFAZ TRADERS,AL HUFFAZ TRADERS,name,"{""addr:city"":""karachi"",""addr:street"":""V2JV+PCQ, Jamshed Rd Number 1, Jamshed Quarters"",""shop"":""yes""}"
not_an_issue,,IRREVERENT,name,"{""addr:city"":""Padova"",""addr:housenumber"":""1"",""addr:postcode"":""35129"",""addr:street"":""Via Giovanni Savelli"",""office"":""company"",""website"":""www.irreve-rent.com""}"
not_an_issue,,Bubanj selo 3 - DAMM commerce,name:en,"{""bus"":""yes"",""highway"":""bus_stop"",""int_name"":""Bubanj selo 3 - DAMM komerc"",""name"":""Бубањ село 3 - ДАММ комерц"",""name:sr"":""Бубањ село 3 - ДАММ комерц"",""name:sr-Latn"":""Bubanj 3 - DAMM komerc"",""network"":""ЈГП Ниш"",""operator"":""ЈГП Ниш"",""public_transport"":""platform""}"
not_an_issue,,"cars to Alamar, later to Matanzas, Varadero",name,"{""highway"":""bus_stop""}"
not_an_issue,,Water on the move,name,"{""board_type"":""nature"",""information"":""board"",""tourism"":""information""}"
not_an_issue,,Smoke and vape,name,"{""addr:city"":""Middlesbrough"",""addr:postcode"":""TS3 8EX"",""addr:street"":""Cargo Fleet Lane"",""shop"":""e-cigarette""}"
not_an_issue,Quarter 20/West,Amman/Muscat,name:en,"{""bus"":""yes"",""gtfs:stop_code:IL-MOT"":""18448"",""gtfs:stop_id:IL-MOT"":""37575"",""gtfs:stop_name:IL-MOT"":""עמאן/מסקט"",""highway"":""bus_stop"",""name"":""عمان/مسقط"",""name:ar"":""عمان/مسقط"",""name:he"":""עמאן/מסקט"",""object:city"":""רהט"",""object:street"":""עמאן"",""public_transport"":""platform"",""ref"":""18448""}"
not_an_issue,TOMOSä¿åœŸãƒ¶è°·,goodroom residence ä¿åœŸãƒ¶è°·,name,"{""addr:province"":""神奈川県"",""amenity"":""bicycle_rental"",""authentication:app"":""yes"",""brand"":""HELLO CYCLING"",""brand:ja"":""ハローサイクリング"",""brand:wikidata"":""Q91231927"",""capacity"":""5"",""contact:website"":""https://www.hellocycling.jp"",""fee"":""yes"",""gbfs:station_id"":""15391"",""gbfs:system_id"":""hellocycling"",""name:ja"":""goodroom residence 保土ヶ谷"",""network"":""HELLO CYCLING"",""network:ja"":""ハローサイクリング"",""network:wikidata"":""Q91231927""}"
not_an_issue,,Entrance Phoemnsin Road (Sukhaphiban 5 Side),name:en,"{""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""ทางเข้าถนนเพิ่มสิน (ฝั่งถนนสุขาภิบาล 5)"",""name:th"":""ทางเข้าถนนเพิ่มสิน (ฝั่งถนนสุขาภิบาล 5)"",""public_transport"":""platform"",""shelter"":""no""}"
not_an_issue,,FITALY,name,"{""leisure"":""fitness_centre""}"
not_an_issue,,autofriends,name,"{""building"":""yes"",""shop"":""car_repair""}"
not_an_issue,,UZUUMU,name:en,"{""addr:province"":""大阪府"",""amenity"":""bicycle_rental"",""authentication:app"":""yes"",""brand"":""HELLO CYCLING"",""brand:ja"":""ハローサイクリング"",""brand:wikidata"":""Q91231927"",""capacity"":""2"",""contact:website"":""https://www.hellocycling.jp"",""fee"":""yes"",""gbfs:station_id"":""15813"",""gbfs:system_id"":""hellocycling"",""name"":""UZUUMU"",""name:ja"":""UZUUMU"",""network"":""HELLO CYCLING"",""network:ja"":""ハローサイクリング"",""network:wikidata"":""Q91231927""}"
not_an_issue,Langbrett,varm & friends,name,"{""addr:housenumber"":""140"",""addr:street"":""Marktstraße"",""alt_name"":""vārm & friends"",""check_date"":""2024-08-31"",""level"":""0"",""old_name"":""Langbrett"",""opening_hours"":""Mo,Su,PH off; Tu-Fr 12:00-19:00; Sa 11:00-18:00"",""shop"":""clothes"",""website"":""https://varm-studios.com/"",""wheelchair"":""no""}"
not_an_issue,AIDS Action Committee,Access: Drug User Health Program,name,"{""addr:housenumber"":""359"",""addr:street"":""Green Street"",""amenity"":""social_facility"",""description"":""Needle exchange and more"",""opening_hours"":""Mo,Tu,We,Fr 09:00-16:00; Th 09:00-12:00"",""operator"":""AIDS Action"",""operator:website"":""https://fenwayhealth.org/aac/"",""operator:wikidata"":""Q4651864"",""operator:wikipedia"":""en:AIDS Action Committee of Massachusetts"",""phone"":""+16176613040"",""social_facility"":""healthcare"",""social_facility:for"":""drug_addicted"",""source:opening_hours"":""website"",""website"":""https://fenwayhealth.org/aac/programs-services/access/""}"
not_an_issue,Zdolni 2.0,JEMRAMEN & CHICKEN,name,"{""addr:city"":""Poznań"",""addr:city:simc"":""0969400"",""addr:housenumber"":""48"",""addr:postcode"":""60-538"",""addr:street"":""Kościelna"",""amenity"":""restaurant"",""diet:local"":""yes"",""diet:meat"":""yes"",""diet:vegetarian"":""yes"",""opening_hours"":""Su-Th 12:00-22:00; Fr-Sa 12:00-23:00"",""phone"":""+48604431700"",""source"":""survey"",""source:addr"":""EMUiA (emuia.geoportal.gov.pl)""}"
not_an_issue,,CANADIAN PIZZA UNLIMITED,name,"{""amenity"":""fast_food"",""cuisine"":""pizza"",""opening_hours"":""Su-We 14:00-22:00; Th 12:00-22:00; Fr 11:00-23:00; Sa 12:00-23:00"",""phone"":""1-403-606-6565""}"
not_an_issue,,alkufa heaven park,name:en,"{""leisure"":""park"",""name"":""حديقة جنات الكوفة""}"
not_an_issue,Chiltoskie Road áŽ á¥ áŽ³á™áŽ£ááŽ½,Chiltoskie Road;áŽ á¥ áŽ³á™áŽ£ááŽ½,name,"{""highway"":""residential"",""name:chr"":""ᎠᏥ ᎳᏙᎣᏍᎽ"",""name:en"":""Chiltoskie Road"",""ref"":""BIA 486""}"
not_an_issue,,The Boat Project/everythingwillbefine,name,"{""artist_name"":""Ernest Daetwyler"",""artwork_type"":""sculpture"",""material"":""wood"",""tourism"":""artwork""}"
not_an_issue,,PUNCH,name,"{""shop"":""clothes""}"
not_an_issue,M. 51,M. 51 BUHARI BIN BOHAN,name,"{""alt_name"":""BUHARI BIN BOHAN"",""natural"":""heath""}"
not_an_issue,New Apartment,Fagela's Apartment,name,"{""addr:street"":""Jose Abad Santos Avenue"",""tourism"":""apartment""}"
not_an_issue,,White by 8s,name,"{""amenity"":""cafe""}"
not_an_issue,,Bubanj selo 3 - DAMM commerce,name:en,"{""bus"":""yes"",""highway"":""bus_stop"",""int_name"":""Bubanj selo 3 - DAMM komerc"",""name"":""Бубањ село 3 - ДАММ комерц"",""name:sr"":""Бубањ село 3 - ДАММ комерц"",""name:sr-Latn"":""Bubanj 3 - DAMM komerc"",""network"":""ЈГП Ниш"",""operator"":""ЈГП Ниш"",""public_transport"":""platform""}"
not_an_issue,,How do you remember me,name,"{""addr:city"":""Tübingen"",""addr:housenumber"":""1"",""addr:postcode"":""72070"",""addr:street"":""Marktgasse"",""second_hand"":""only"",""shop"":""clothes""}"
not_an_issue,,Kwaj Threads,name,"{""shop"":""clothes""}"
not_an_issue,,80s,name,"{""amenity"":""bar""}"
not_an_issue,Hudson County Correctional Facility,JOHN F. CALI WAY + HUDSON CTY CORRECTIONAL CENTER,name,"{""bus"":""yes"",""fixme"":""location might have changed"",""highway"":""bus_stop"",""network"":""NJ Transit"",""network:short"":""NJT"",""network:wikidata"":""Q498553"",""operator"":""NJ Transit Bus Operations"",""public_transport"":""platform"",""ref"":""21240"",""shelter"":""yes""}"
not_an_issue,,Finaline (Killingholme-Buncefield),name,"{""layer"":""-1"",""location"":""underground"",""man_made"":""pipeline"",""substance"":""fuel"",""usage"":""transmission""}"
not_an_issue,Ryuko,fHandcy store,name,"{""shop"":""clothes""}"
not_an_issue,,out of stock,name,"{""addr:housenumber"":""45"",""addr:street"":""Burgstraat"",""email"":""info@outofstock.be"",""entrance:kerb:height"":""0.18"",""entrance:ramp"":""no"",""entrance:step_count"":""1"",""entrance:width"":""0.82"",""opening_hours"":""We-Sa 13:00-19:00"",""second_hand"":""only"",""shop"":""books"",""toilets:wheelchair"":""no"",""website"":""https://www.outofstock.be/"",""wheelchair:turning_circle"":""yes""}"
not_an_issue,,Hpyat Lan Ka Lay (Ah Lel Su),name:en,"{""name"":""ဖြတ်လမ်းကလေး (အလယ်စု)"",""name:my"":""ဖြတ်လမ်းကလေး (အလယ်စု)"",""pcode"":""156878"",""place"":""village"",""source"":""myOSM village mapping""}"
not_an_issue,,Block G kunal Iconia sait tukaram nagar mamurdi pimpari chichwad,name,"{""addr:city"":""Mamurdi, Pimpri Chinchwad"",""addr:district"":""Pune"",""addr:housenumber"":""Kunal Iconia, St Tukaram Nagar, Mamurdi, Dehu Road, Maharashtra 412101"",""addr:postcode"":""412101"",""addr:street"":""Mumbai - Pune Expressway"",""building"":""yes""}"
not_an_issue,Zion Evangelical Lutheran Church,MEXICO MAGICO,name,"{""addr:city"":""Belvidere"",""addr:country"":""US"",""addr:full"":""1515 Pearl Street, Belvidere, IL 61008"",""addr:housenumber"":""1515"",""addr:postcode"":""61008"",""addr:state"":""IL"",""addr:street"":""Pearl Street"",""ele"":""244"",""gnis:feature_id"":""1764741"",""source"":""microsoft/BuildingFootprints""}"
not_an_issue,,Block I kunal Iconia sait tukaram nagar mamurdi pimpari chichwad,name,"{""addr:city"":""Mamurdi, Pimpri Chinchwad"",""addr:district"":""Pune"",""addr:housenumber"":""St Tukaram Nagar, Mamurdi, Pimpri-Chinchwad, Maharashtra 412101"",""addr:postcode"":""412101"",""addr:street"":""Mumbai - Pune Expressway"",""building"":""yes""}"
not_an_issue,,15 Silver Dragon (Big Forehead),name:en,"{""name"":""15 银龙道（大奔头）"",""piste:difficulty"":""advanced"",""piste:grooming"":""classic"",""piste:type"":""downhill""}"
not_an_issue,,HaAvocado/Shafek,name:en,"{""bus"":""yes"",""gtfs:stop_code:IL-MOT"":""43395"",""gtfs:stop_id:IL-MOT"":""42985"",""gtfs:stop_name:IL-MOT"":""האבוקדו/שפק"",""highway"":""bus_stop"",""name"":""האבוקדו/שפק"",""name:ar"":""هأفوكادوا/ شيفيك"",""name:he"":""האבוקדו/שפק"",""object:city"":""חדרה"",""object:street"":""האבוקדו"",""public_transport"":""platform"",""ref"":""43395""}"
not_an_issue,,DRESS MODE,name,"{""office"":""company""}"
